,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48
0.5,107.843122486667,128.06713743266667,136.19245994928585,148.84017675177822,148.40436935727288,152.60471334098924,153.24520176916636,157.02997171254862,159.61939256573672,162.46738686069236,163.2099481351807,164.34628856076893,165.04116390706326,166.11700571620676,166.88782950538274,167.82347576340473,168.25539327104804,168.3794264847089,169.55550656021765,169.6083846964579,170.51155888824488,171.05401288459925,172.226131861702
1,113.27082008666667,132.22901501200002,140.56118722785686,150.75617267333323,150.60588772484886,156.11103992373612,157.34097852316665,158.15394318771266,161.6152086198946,163.45772040181808,164.11555178384054,165.41656487150738,166.54991405634897,166.41751570800025,167.7206713764517,168.3347197924061,168.50809622717495,168.7253727722045,169.97090228051252,170.223556670546,170.71367078116324,171.55461556085066,172.226131861702
1.5,118.001410486667,139.172766518,142.20289611464244,152.78632742822265,153.1417271534848,157.5511897049446,160.412202459167,160.7691074177129,162.48457105684238,164.15096782290078,164.71294986184805,166.41738130455408,166.86659806587323,166.82818614988528,168.13834307723795,168.436209072995,168.82527060595226,169.00897477426741,170.24190265241052,170.47427835523843,170.8083860351586,171.5915632495939,172.226131861702
2,123.28532504666633,142.76211605866663,144.118516281429,155.24145373155545,154.0192123266666,158.96237771340657,161.65294707133302,161.55479841098006,163.03964922168458,164.4725689494374,165.34961361579698,166.9283312146463,167.39079200190494,167.13396606050532,168.5367433752424,168.60545503622063,169.05834691707918,169.15713489342838,170.30114064420547,170.67479173342628,171.03777482207173,171.684333309758,172.22789052035506
2.5,126.09472231666635,144.6421785300003,145.64013128035688,156.35490321777746,154.94665549545496,159.82757774835122,162.17213170708365,162.97369427320228,163.81008806315776,164.95562483593028,165.78910585670263,167.00662093353836,167.50363067235435,167.73724388275846,168.69792048487875,168.70604796069543,169.26177845515835,169.36664083421064,170.35759204006425,170.81917203124272,171.16515186527465,171.73178043439623,172.227926411348
5,137.704610316667,151.7171677799997,153.62391264999985,159.64401896888845,160.2929666378792,163.09820264395572,164.90719599333335,165.00709773921548,166.20349543894767,166.79044445324644,167.3426922565219,167.95559995599993,168.48606542142886,168.7363723737933,169.37373744979806,169.37511852442026,169.96372591238114,170.16594850697038,170.76048480871842,171.11502832253223,171.4786923880546,171.8738012978745,172.227926411348
10,151.5904591,159.221695226667,159.6723612642856,162.9982074044446,164.3848609515156,165.8030391362639,167.236958883333,167.38226810718922,168.2222348231575,168.58792044415588,169.0857975833334,169.2892828639999,169.54581536137562,169.9334574570118,170.1816334064519,170.3719853953655,170.744301380635,170.92096222133702,171.3141083587176,171.4988884501742,171.8624550543344,172.21018622086962,172.761824874113
25,166.377719,167.80629883333302,167.96963441071426,168.9361618777775,169.57678494697,170.51649150000026,170.57129381666675,170.70237280065373,170.808422055263,171.00323742857148,171.35494140760824,171.38702251846175,171.58525380026475,171.634869003448,171.828808436492,171.7339555276295,171.9620991507935,172.12451586415375,172.21006013717925,172.37556065272975,172.49952871828725,172.62422243478275,172.903224721631
75,184.558953333333,180.867933466667,179.222605,178.31528267777776,177.57093892424223,177.494406324176,176.78813059583325,176.19915108169948,175.81125672368427,175.778835008658,175.4935158152175,175.33220189846173,175.10011094179902,174.9312671333335,174.748981233871,174.49602308288775,174.369528498413,174.31134130938824,174.117520361538,174.03010582694526,173.84303378858326,173.68866004396125,173.510688562057
90,191.665829,185.238212733333,183.20098137857102,181.1545388622226,180.3324080636361,179.7311534703301,178.8263508033333,178.4358007084965,177.6087413157898,177.14160715411248,176.8482429768119,176.6014679286152,176.201243566667,176.1097919439079,175.77545828024148,175.44656948627483,175.30244276444452,175.0779147271692,174.823076706154,174.67801514517961,174.3906142437636,174.1021682461835,173.792997446808
97.5,198.789045,190.729372933333,186.3780557910714,183.81017098444477,182.13753798636327,181.58722309395617,180.54617898208366,179.86599872647037,179.2009575328944,178.48781552727243,178.10699869710152,177.82995653353845,177.39413107989444,177.02748265724156,176.7944806584675,176.3201787337794,176.18319058119064,175.81880330284463,175.5200457461536,175.299612908769,174.89233323763187,174.51445569367198,173.831111223404
98,198.789045,191.221888666667,186.57384394142815,184.0058715937781,182.52268544969726,181.96079575692335,180.83587515400032,179.963443307712,179.30795427936826,178.6036294277056,178.22428242898522,177.9637761090466,177.55407522507977,177.13228487062065,176.86707295403193,176.3680415412473,176.26168284749173,175.89232916352793,175.60234099174392,175.3518666763763,175.0238096887528,174.53337791675335,173.831111223404
98.5,198.789045,191.666977466667,187.106818237857,184.27141590800034,182.89650514878764,182.07808215670352,181.068679649583,180.07958216209133,179.45125561831625,178.84740831125552,178.2870697073909,178.02536181335424,177.69719291367693,177.22508615131005,177.04410425320535,176.4975541906778,176.4006064043174,176.00261732345683,175.68411190051253,175.43802517101017,175.14092883451366,174.66694474580635,173.831111223404
99,198.789045,191.666977466667,187.66532942428586,184.88981362266657,183.21739528454555,182.25591923516473,181.32036244716667,180.28893003071894,179.64578314610546,179.38745930961002,178.43878886608698,178.09126072892315,177.7611528146557,177.464211100782,177.38597198290356,176.6329054716581,176.4684451291432,176.0835375408246,175.90494842933333,175.470984908014,175.1735942926637,174.70565043947863,173.831111223404
99.5,198.789045,192.342706266667,188.44079401892816,185.46839476866634,183.68651168318215,182.51483110846124,181.60664463824966,180.59960938405212,180.17478910915753,179.59413645826862,178.87616068521726,178.2679346220616,178.05895101468207,177.59121889588505,177.56895642344793,176.9226941902669,176.55442055795194,176.29521046066824,176.06655728012822,175.70711491986046,175.34734071263188,174.8027597957009,173.831111223404
Median,176.67765816666702,175.4815056,174.569245,174.278628688889,174.212008060606,174.173595615385,173.9543518583335,173.8058092745095,173.696032278947,173.5573221341995,173.358525637681,173.62842517538502,173.502538521164,173.4167914091955,173.34221995766148,173.3878395650625,173.188249496825,173.307221482219,173.2658816858975,173.2046820255515,173.1630292843555,173.186920514976,173.130813570922
Mean,173.84802737133333,173.3586025716,172.5832639555,173.02010135293332,172.9584129560606,173.39252530650546,173.26474703358335,173.1643498584183,173.0664485359684,173.13061986249352,173.12726501383332,173.2506991067077,173.174679202873,173.155910425623,173.16522978933062,173.079245852959,173.0999147856635,173.12822743489897,173.13798308311536,173.14533631307782,173.13045295831287,173.15593965397295,173.15378098375353
