,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48
0.5,127.567037596667,142.4328883542854,144.85740886711076,151.75692070606047,155.13386240813188,156.19622208583368,158.73592384490183,158.5471150643689,160.06718960757618,162.09165446340535,162.18690402172285,164.11869141552918,165.37150440898884,165.44981694556475,166.13155463342227,167.04699529477801,167.38960090227616,168.11116939448684,168.8088088555636,169.5036933323788,170.439419876328,172.233331611702
1,131.193170504,145.18354462857127,146.9008346311111,153.62035474999988,156.33840633538424,157.955070511167,159.07740278614378,159.3266665724208,160.98514477644994,162.72293002086957,162.7943093826457,164.4926517557141,166.03880769062073,165.9591464453627,166.50872924253156,167.44570431755554,168.02473180605972,168.43726249100004,169.16021101251982,169.65861029625802,170.601119565217,172.233331611702
1.5,135.63477185933303,146.5652139782146,149.19523051644435,155.47714424363647,157.1896213889013,159.02155963391698,160.75802175091476,160.55571816489467,161.65465512428617,163.71472001253582,163.65477282255344,165.4411499798945,166.38341055450545,166.4000497844554,167.12697695303055,167.71437417293686,168.16106719159353,168.70684367247406,169.2647448240302,169.72168634909133,170.609832382609,172.233331611702
2,138.811023192,147.80873609571444,149.81681769955543,157.1096992054541,158.5886108685718,159.694576904333,161.52705504758134,161.48142337894723,162.6515352157571,163.92843901086974,164.36779352455346,165.98521442656042,166.67892510243664,166.78851653209696,167.33216597846663,167.909118203429,168.34740009775214,168.8196354796408,169.4233003431821,169.93844210926042,170.626946523671,172.233331611702
2.5,140.21338506333333,149.6731876535717,151.75982370888877,158.06461428409114,159.12389744560457,160.41863677666666,162.43274495457513,162.1592125755268,163.54095054134203,164.38338109166682,164.79345856538433,166.49518411534353,166.76556646183923,167.0063611051415,167.5527096238856,167.97233535238104,168.4717089854195,168.96460036487207,169.5468930605105,169.9871125051793,170.632682347826,172.233331611702
5,147.55769189333364,154.06739762857129,156.75182341333365,160.58746819848471,162.07340669780265,162.39114115166635,164.29262650588248,164.23646015736804,164.96958838008646,165.735853065217,166.19155109661583,167.60225024603213,167.6921574577008,167.99415086592734,168.279951223886,168.98167141523805,169.19080041763894,169.54720980666622,170.1487814624855,170.4630943501059,170.81172124058,172.233331611702
10,155.8570844,158.7183235714286,161.782063862222,163.541556939394,164.5879210681316,165.2956339516664,165.9758801568631,166.30325025894692,166.8258721818186,167.5468069681163,167.71857571507712,168.6548727613758,168.6687068257472,168.75643960161318,169.4290123404633,169.59737244476202,170.0290342751067,170.1987767351281,170.70194415005778,170.8005216773782,171.3097230786471,172.233331611702
25,165.1717944,166.6208780714285,167.4444408888885,168.304846151515,168.54597993956025,169.294327658333,169.52579719281027,169.51339660789475,169.8047037835495,170.16861033333325,170.07441073230774,170.50872489418026,170.32381638505748,170.6000016834675,170.90383858556174,171.03261794523826,171.15071617638725,171.224668132051,171.47635857142876,171.53274648625825,171.6543415072465,172.233331611702
75,180.713807933333,178.758788160714,177.749397844444,177.17369699999975,176.5506628021975,176.25320906666676,175.6715350882355,174.97478568157874,175.03233899783575,174.86512737137676,174.5759379215385,174.2916985092595,173.94758012298874,173.98395442237899,173.732245101604,173.66657780317502,173.50082443385526,173.309823294872,173.2060659175375,172.9275163409095,172.73764398550676,172.233331611702
90,186.0491508,183.44506103571442,181.4329014799996,180.16521197575798,179.394434540659,178.8420577599997,178.0003959934638,177.2790606252634,176.7300810432903,176.57569679565222,176.3294979316926,175.7310572740744,175.3218276933331,175.23308366370952,174.8172933696969,174.6423769352379,174.27368301507812,174.1084041569232,173.8466951544718,173.4280465456663,173.1499170440579,172.233331611702
97.5,191.22618815333365,186.5727961249997,184.81161629555513,182.79976184393897,182.02082812417538,181.12870018791702,180.02794011111092,178.96919088789514,178.77275318051917,178.04124766992757,177.7471163747697,177.2083575661378,176.83329799873547,176.44030527268106,175.826100969519,175.5183303042062,175.13811194594555,174.79089648660292,174.42319629825812,173.9758380399053,173.26845592391325,172.233331611702
98,191.666977466667,187.07123151857155,184.91508008355513,183.89025141030257,182.35890030461528,181.41730640266633,180.19567529464038,179.2274803934734,178.92521817437273,178.35331202376835,177.85331398043076,177.41542600095198,177.01329060781595,176.62132603532285,176.0284656740818,175.6550682266029,175.21754658167896,174.85752647112855,174.46483200729355,174.03814019606736,173.291547679227,172.233331611702
98.5,191.9160396,187.534922071429,185.44487332266667,184.29379717999973,182.80606440164874,181.89847262450002,180.3945278014381,179.79019574147338,179.103856808312,178.52755770782565,178.00526254246122,177.6001718081213,177.15070040885092,176.79695306524144,176.19625330324456,175.75049803928573,175.3764994344094,174.90555505921793,174.53947541153303,174.06468469395375,173.318535982609,172.233331611702
99,191.91668256133335,187.88001523428557,185.94392639555525,184.67131210636396,183.24004456065907,182.04180605799968,180.69141252810448,180.2693748332629,179.51421994251098,178.63005241449318,178.21665626701582,177.95902215772443,177.2590298434942,176.97254531770136,176.5807893744742,175.8526824012694,175.54197248600266,174.9902706789746,174.60834876160283,174.1450398765541,173.33937982278235,172.233331611702
99.5,192.500429278,188.25903296285685,186.60579526755555,184.99959369090868,183.98848847868172,182.615157049417,181.35325242326755,181.23671647363116,179.84136543013028,179.29385125083382,178.68082381926178,178.34439082756597,177.56596485744836,177.3446272637301,176.64803139864497,175.97707537938132,175.6054118314647,175.2862271302181,174.82599895655076,174.2475038451587,173.349413924638,172.233331611702
Median,174.086002933333,173.082350714286,173.40496188888898,172.692205030303,172.99993917582452,172.83342494166698,172.91383304575152,172.129999773684,172.5215681904765,172.55021679710148,172.2873121907695,172.450161973545,172.215574666667,172.47932482459652,172.3983714046345,172.362398073016,172.29415198862,172.42144786282051,172.3617043368175,172.28077567759,172.33373545314,172.233331611702
Mean,171.9715889868,171.83545697378574,172.11356588106668,172.32290549418178,172.35924193643953,172.38473394275,172.37118919151632,171.93094015022106,172.11813639137662,172.27273003023188,172.1172932259569,172.29025205724867,172.09464533095633,172.2199059189395,172.20611797354724,172.2634591324635,172.2072929752347,172.2161317352333,172.29232017494078,172.1871145051776,172.21547305358843,172.233331611702
