,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50
0.5,326.91590675000003,394.242462735,495.65642847,600.1193610199999,678.98257122,760.6790157099999,841.496015335,913.042065265,986.120767465,1071.56688171,1129.9908604,1210.9344557450002,1282.369416945,1345.11935307,1407.8168446799998,1483.95715516,1552.085469355,1622.623304105,1685.278956595,1760.0024398799999,1838.2334222900001,1913.860313085,2044.846146
1,342.14418963,420.41398781,525.71563079,622.64375798,691.63656371,775.3514298099999,853.13161414,936.3352408000001,1009.07936874,1085.64606035,1149.37286485,1224.94752946,1294.2302068299998,1358.13589966,1422.3473733800001,1504.3431013099998,1566.5512641,1637.67511968,1706.43930847,1773.45247166,1848.49761476,1922.9195290500002,2044.846146
1.5,355.29506242,436.943923765,537.67183421,628.627774895,707.317976995,789.18705535,862.338593055,947.37844671,1015.3567321,1094.2830707950002,1160.367430095,1235.5768534049998,1308.30213918,1362.712317885,1432.433036375,1511.57840584,1577.92954689,1642.0435697300002,1712.043014545,1779.44541124,1850.779935095,1928.584956,2044.846146
2,362.89792106000004,450.55577082,546.2691521400001,630.67220622,719.92650738,794.49309972,870.29395866,957.51034178,1022.00847334,1101.0147043000002,1168.9154516,1246.0341435,1316.6430119800002,1370.29733372,1445.82297178,1517.71831118,1588.3637385,1644.70366486,1720.59424572,1782.56548744,1853.0521983800002,1930.34637456,2044.846146
2.5,367.12257545,462.353699075,556.10610195,640.09280255,724.4272269749999,799.865228825,884.1607392750001,963.51733655,1031.9990647749999,1109.2595099750001,1174.1208434500002,1248.996110025,1320.5698426,1374.40707185,1452.735480625,1522.77841755,1592.668314325,1648.7256938,1722.69215665,1786.85287805,1854.049034675,1935.36272,2044.846146
5,384.50252770000003,484.68144010000003,577.77122405,664.3232928499999,750.8950855,829.0607462,908.8198360499999,978.60628675,1054.56530735,1129.80040185,1201.6677297499998,1271.8529578,1346.75485535,1398.9340854,1470.5048311,1538.0739071,1611.4739797999998,1678.1808598,1744.9546432500001,1808.16731635,1866.1535492,1945.1091503,2044.846146
10,401.71776300000005,509.3044244,603.1685162,689.3917122,775.8704715,856.7025716999999,940.1162955000001,1015.0240021000001,1080.3609526999999,1154.1361555,1235.7934633,1300.5322694000001,1368.7792839,1428.8163389,1491.3140707,1563.0812081,1631.5096422,1696.9580081,1761.835154,1822.9307627,1882.627841,1953.8341268000001,2044.846146
25,433.20081700000003,545.62478925,635.38545925,732.41984425,820.430533,900.5755065000001,987.4558135,1059.3667420000002,1129.345721,1205.264626,1275.1573825,1344.64262525,1412.21375925,1474.99279325,1539.487936,1601.9820140000002,1671.8088315,1730.75356125,1792.444114,1852.9297355,1908.11416325,1974.528675,2044.846146
75,499.67635574999997,616.2032245,722.12825,816.76242175,907.39380025,992.0742165,1075.6469915,1153.286008,1230.2654009999999,1298.269971,1372.588088,1433.818559,1498.701844,1561.8071875,1627.1508397500002,1690.64006275,1742.1315515000001,1800.85250875,1856.1476715,1911.96636725,1960.57663925,2009.367472,2044.846146
90,525.507087,645.5656395000001,754.9556056,851.4248423,945.4998300999999,1036.3552924,1120.4543712,1190.1765609,1264.190332,1343.5994505,1411.2932484,1475.174129,1537.3299319,1597.7079377,1664.2339914000001,1723.8243091000002,1774.4876582,1825.4472661000002,1886.1965785,1934.3918575,1979.6868366,2019.3861268,2044.846146
97.5,549.556889,669.0574857,787.81958095,884.8022230999999,985.765479675,1067.6170570499999,1158.414984475,1236.10606605,1302.382397875,1380.5296266,1451.323278825,1514.524848125,1585.5771890249998,1636.3332730749999,1697.693976475,1758.389588075,1815.67903385,1858.2907433999999,1908.427934975,1954.3016571,1992.102542375,2026.980552,2044.846146
98,549.623998,673.49594418,791.0779837,891.13353826,992.77146478,1075.0175215200002,1162.64377138,1245.5639807199998,1305.34734898,1388.9646333800001,1455.30945052,1519.75088816,1591.9868857,1641.43085234,1703.46954008,1762.8539035200001,1818.5838348799998,1862.09568128,1914.23961662,1957.65696208,1993.33601112,2028.274642,2044.846146
98.5,551.256889,677.067540835,796.054859365,896.0677387,999.31049251,1076.883635095,1166.2614512349999,1257.025236245,1313.429509,1393.92165301,1460.90208137,1523.6276785199998,1598.6389442949999,1648.406881295,1715.93626801,1765.6766113299998,1820.81421973,1866.422351015,1915.9692544,1961.216029155,1995.976387535,2028.311844995,2044.846146
99,560.156889,683.4732487599999,801.52801705,901.7554930399999,1005.6484712500001,1087.4054202300001,1179.43189728,1265.74208718,1321.00307114,1403.27890327,1471.49716013,1535.71942608,1608.00765636,1655.45096952,1729.6022209799999,1774.4994935999998,1823.04454875,1875.21066911,1920.4677079199998,1965.4567804,1998.0346853199999,2029.74459552,2044.846146
99.5,563.356889,686.035602255,809.537528075,913.219995205,1013.32874084,1096.809755725,1192.807692275,1270.365120135,1323.2703622899999,1418.4473755949998,1479.752266375,1546.5213011,1615.1758508,1668.2383275999998,1735.723111925,1781.97056955,1830.914397145,1883.469743365,1929.63767683,1972.24730374,1999.3040022550001,2031.221737,2044.846146
Median,467.951586,585.126951,677.8445495000001,773.989768,864.143051,947.8002475,1031.5192984999999,1105.1444935,1181.3217840000002,1256.2122614999998,1322.5588635,1391.700233,1454.1589250000002,1522.6904605,1582.168222,1647.9541104999998,1706.1397075,1767.7751655000002,1824.995944,1884.9078964999999,1935.6056385,1992.8798674999998,2044.846146
Mean,465.02844639,578.6220595189999,678.091790047,771.995470603,862.5217710410001,945.650198037,1029.21787206,1104.3786591110002,1176.9134215919998,1251.818371714,1321.400016015,1389.4167463469998,1454.127582069,1516.660911779,1580.293408767,1645.46777141,1705.444407924,1764.453526173,1823.464464465,1881.1266405879999,1932.786167178,1989.619857115,2044.8461459999999
