,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590,pd595,pd600,pd605,pd610
0.5,1151.50835134,1494.38420918,1822.01957007,2071.5306788599996,2411.838902725,2614.418770805,2944.656514865,3177.10585157,3465.094354135,3713.1331298650002,3913.74255517,4140.565424305,4415.228227075,4552.8182246999995,4890.880036505,5076.09832609,5181.282062625,5266.48509495,5655.066611235,5753.38636449,6018.47103376,6101.040666845,6237.183175325001,6596.327585554999,6648.263977065,6831.809747255,7042.749443435,7177.678421745,7302.819462735,7553.201107479999,7642.986704024999,7780.895686715,8031.695919365,8195.590247279999,8221.25565348,8443.534079805,8652.280553960001,8642.820555135,8767.045631095,8982.39160041,9154.643459765,9385.63513717,9436.133823544998,9498.199134600001,9614.981369915,9908.930130050001,9970.325466465,9973.346262905,10147.770964375,10365.85103537,10445.910033959999,10659.613653729999,10778.39787427,10834.540939145,10942.462050684999,11142.99244378,11127.081945259999,11352.709614935,11588.72770853,11756.41648939,11825.539287175,11927.80977973,12024.19297125,12247.78624291,12370.139163079999,12500.247139035,12330.30541982,12644.76907339,12908.210969985,12952.644354395,13014.639785520001,13068.40807403,13368.48660975,13431.896926815001,13702.56522403,13594.643617665,13686.5195801,13915.727332285,14038.941997599999,14189.3414799,14354.22833711,14319.790466245,14571.389989095,14640.718589375,14773.1506892,14991.40956145,15097.89140941,15196.219578785,15314.906259705,15505.480122814999,15498.092701715,15600.796153419999,15791.937070525,15964.63237605,16078.51476107,16062.763528675,16277.28164828,16431.273926589998,16486.23467157,16563.809175895,16794.555349950002,16861.072199860002,16997.95632233,17116.42439457,17340.368328535,17327.43549024,17516.88636382,17480.670299885,17802.0184452,17885.721569115,18028.889588960003,18139.425812165002,18245.94316307,18433.196422955,18436.112999009998,18668.50539496,18820.341222465002,18874.037920644998,19071.497877265,19242.292045355,19504.914788
1,1171.7525351299998,1520.12250548,1858.90228923,2124.66663772,2482.2840611700003,2723.09063205,3011.38495596,3271.7477434700004,3553.9692806900002,3745.9537668400003,3951.35342059,4264.99665133,4491.99593243,4630.42168622,4939.1652790200005,5129.91576516,5259.56431979,5417.5418301,5722.62467543,5823.981923300001,6064.43052484,6150.980081350001,6375.826444249999,6706.85338089,6723.8290634,6917.59165389,7182.98342684,7224.6759016000005,7425.03477085,7631.80382552,7717.38932209,7847.09775901,8086.33954932,8251.14013991,8326.70228119,8602.65130668,8695.40426163,8736.43654578,8978.471287010001,9119.133140670001,9200.12006317,9481.25883389,9576.72895778,9619.92827142,9726.05213518,9945.09550249,10069.86797524,10082.20201933,10210.711886129999,10429.93708435,10633.020306370001,10772.247313580001,10862.640270400001,10920.779830610001,11057.75106504,11247.06599254,11384.61472928,11515.49998391,11687.844252140001,11863.30844989,11886.61166538,12058.88249075,12100.87151747,12325.665611080001,12457.82560785,12638.12731188,12643.08624815,12821.107211030001,12967.55633405,13090.92950592,13226.029015709999,13299.03030084,13419.39598666,13516.41307865,13804.745581610001,13695.40517645,13971.110352759999,14028.8374746,14165.150531969999,14388.75335529,14460.34282802,14424.277777419999,14670.99733905,14820.631793120001,14930.22578379,15075.98709053,15172.54016346,15249.82384078,15428.849022639999,15562.83871857,15698.427041059998,15621.73829917,15968.403419080001,16033.96583791,16127.128847619999,16171.96062822,16362.18764506,16487.47082468,16581.60003431,16659.55467234,16892.40592985,16968.39520194,17077.64629027,17230.13570988,17402.762971250002,17403.35947048,17552.53433489,17682.61437228,17882.4479562,17957.610465730002,18088.04022435,18195.36206159,18308.1204169,18472.6307845,18546.79059371,18722.12372384,18868.82504485,18964.120985240002,19144.15892179,19289.35861175,19579.234134
1.5,1211.45342342,1561.664792025,1897.81771178,2165.25327673,2509.609192715,2763.79608328,3054.9263383,3368.730467385,3588.211848325,3804.822229855,4020.759978795,4298.465729355001,4531.42557139,4691.25444034,4989.011554235,5178.224784755,5327.56966983,5496.30037173,5751.402795475,5860.77470825,6139.09759993,6259.02511462,6425.7557682999995,6757.787048605,6831.6493493299995,6972.59464039,7272.719292985,7312.549939475,7511.795479465,7685.17730082,7790.726894779999,7922.45476902,8118.7582247400005,8313.1463024,8418.413473855,8650.761055365001,8754.82406805,8859.387053805,9026.341544179999,9204.453992445,9228.894733855,9543.959351095,9606.298712885,9774.741413055,9793.31721406,10032.691425915,10124.61299258,10238.763227205,10357.60772405,10532.675403689998,10684.651871535,10833.533254185,10974.755886814999,11010.914318245,11223.88230452,11313.79281724,11510.139602825,11615.918203415,11720.501979005,11980.613444569999,12033.09156421,12117.5853645,12189.038009619999,12411.122392795001,12524.722549945,12696.3273841,12718.95151668,12890.078419129999,13036.7522808,13146.20483778,13293.799496135,13322.278568855001,13469.084481145,13547.525865825,13867.40403964,13817.794989355,14117.171937165,14121.16852602,14261.374698779999,14403.85508109,14529.96266046,14616.90597783,14734.597311869999,14906.152758745,14997.364372565,15163.58419603,15218.60798001,15292.04913957,15488.862602045001,15583.034461055,15761.33358769,15734.239670699999,16020.43687028,16086.0667088,16212.024940835,16280.82071716,16418.10063254,16551.274389475002,16705.268524655,16760.81357231,16912.246660085002,17060.445810835,17130.998544775,17324.54687082,17471.565789325003,17501.75141376,17610.931435955,17746.167283085,17918.797690515,18018.68610091,18114.166403005,18222.891680085002,18364.065147949997,18500.16847646,18609.332571255,18756.378326235,18922.529903905,19013.92873017,19189.958732975,19372.17107081,19646.58132
2,1223.93097666,1587.87790382,1921.6930273,2197.98942198,2519.63172154,2800.09748292,3103.69086436,3404.5162063,3627.74709682,3848.3745463,4045.29259204,4347.28068168,4549.7715454,4732.55303416,5041.476086,5223.17257358,5412.59757532,5556.36758426,5781.096186719999,5903.3370128999995,6185.67114814,6298.84054002,6492.5750482,6779.40004754,6874.4380486,7034.23134428,7292.14527604,7365.59205682,7579.834720960001,7731.18871382,7819.77210088,7969.8737001,8176.08074732,8368.982319120001,8470.117425639999,8691.13105974,8812.23360938,8886.58159318,9066.80164236,9241.268420999999,9319.85646008,9585.0856771,9708.53137576,9815.85396404,9809.62111942,10080.42355506,10167.801978380001,10323.06606512,10448.81067948,10623.70319484,10725.0130151,10900.09430586,11021.79447282,11087.07723346,11244.117052239999,11366.27604348,11555.23296356,11654.11606276,11775.6585177,12045.918179100001,12087.825102100001,12166.46125672,12260.732650079999,12449.9026105,12571.01118796,12754.8647663,12768.08227314,12941.78671682,13072.56305242,13209.17383394,13315.82391818,13362.86659686,13572.592740639999,13665.20937514,13912.19165756,13857.3763694,14147.71925608,14160.85274312,14327.4048521,14446.9531532,14600.68487334,14671.38543136,14834.34150462,14957.68694136,15025.47794724,15233.789362219999,15274.43970476,15366.46815544,15549.00072948,15634.241371299999,15828.71625708,15838.467835439998,16084.6315004,16133.13798388,16280.84886948,16330.326506880001,16466.47725782,16577.276800779997,16750.88135992,16799.177974159997,16951.90174268,17115.11591652,17215.23852954,17349.325820759997,17497.01975536,17572.32074664,17660.071239,17779.599164440002,17935.73573284,18046.643040100003,18160.86880318,18260.41511684,18386.017490140002,18562.83560684,18667.129610400003,18825.349901999998,18957.87674332,19046.62773884,19209.906218,19398.67494048,19652.106582
2.5,1232.1640036,1600.3628037,1953.6393606000001,2233.46013385,2547.5769166,2823.6783990999998,3120.184301725,3438.9489247499996,3665.243198125,3869.012445075,4082.79030815,4369.868039950001,4591.0977905750005,4760.5543619,5073.789178275,5244.192419375,5447.062766075,5599.387221575,5824.66175715,5967.66429305,6226.6205549999995,6326.157565449999,6538.899562875,6810.4316514249995,6922.8842202000005,7056.03177975,7330.5949529750005,7398.182086275,7621.705893325,7771.88506205,7873.388928975,8039.937535775,8216.408983875,8389.464723325,8503.9287305,8708.51056945,8847.28640835,8964.905003975,9110.89378925,9287.706739125,9384.298344050001,9637.156083925,9757.215649525,9850.126985225,9858.393245725001,10104.337595,10213.43040315,10405.41552155,10487.796566375,10679.5393788,10752.642869425,10914.435434474999,11107.821976449999,11137.77514265,11328.765252624999,11399.74570585,11601.737665375,11728.74197825,11809.300174175001,12056.519596125001,12102.14842925,12192.973601874999,12327.63712325,12499.843417,12627.384404475,12774.465028425,12807.382748875,13015.7275546,13121.578901575,13262.825568925,13352.2281358,13442.1963148,13628.4960607,13698.7320557,13946.03859155,13949.759286299999,14171.618204600001,14248.603650425,14392.8694012,14480.803424624999,14633.879126475,14713.9202348,14936.728827225,14975.323781575,15059.698478125,15264.599186525,15319.955626675,15382.809156000001,15591.3078084,15687.766946349999,15887.417456075,15881.157761925,16100.70708085,16197.7594777,16337.989000975,16355.145359799999,16512.51420565,16603.105922225,16792.1049927,16827.555258675002,16993.8203512,17173.15571425,17274.3501396,17374.53845555,17509.907111124998,17604.43416305,17704.10357645,17815.969680875,17974.916432775,18085.75497995,18186.095157775002,18326.641049425,18429.896063775,18592.80346565,18690.1857003,18847.690871225,18986.838438274997,19089.874792274997,19256.1408863,19418.0744573,19662.312215325
5,1282.1738822,1663.9028983,2025.7380272999999,2336.7121583999997,2656.9618250000003,2927.64502365,3203.24084585,3522.5304180499998,3776.82886245,3984.5600201999996,4203.2378339,4513.597353599999,4696.4148119,4892.97688385,5215.0250195,5363.386195399999,5536.10611315,5736.8015728,5953.5223383,6120.47525105,6349.44611395,6519.72690055,6679.96203065,6932.78245555,7064.6893632500005,7181.3322898999995,7440.51078035,7546.7963115,7726.91086745,7872.3156954,8015.54262755,8171.5839138500005,8359.6197814,8489.95491275,8596.5662986,8844.05035755,8979.92372305,9121.829142300001,9257.0638512,9426.797858700002,9505.2970405,9769.1084651,9901.5914408,9997.970668599999,10087.80432005,10250.280158900001,10404.39488555,10550.137438149999,10670.257867100001,10848.787004549999,10909.69545225,11089.99195325,11268.81451505,11338.71826085,11471.90955285,11575.70927055,11792.69542385,11874.38971165,12013.062844349999,12200.4884172,12270.96640845,12316.3668165,12509.6469637,12713.2284684,12804.2685807,12958.89498275,13032.4264768,13137.96969895,13296.60242225,13398.912514399999,13567.85312825,13645.1386794,13765.721573550001,13879.3958374,14096.99620335,14112.1465367,14328.1219566,14424.8884398,14514.56431535,14633.6281807,14787.941398449999,14916.01647545,15067.27778315,15200.65321765,15225.7968442,15429.321352,15490.9930603,15586.491127649999,15723.6000127,15812.44032815,15988.4469394,16050.9624984,16238.01844135,16315.67386325,16441.1339092,16576.8831211,16633.4209142,16787.210778499997,16950.348750499998,17007.530357749998,17124.63868865,17237.34986715,17384.6436287,17521.16898995,17605.575194449997,17725.890563449997,17846.71059125,17943.6562327,18066.9651241,18201.10437605,18301.0016881,18438.7146405,18537.57881125,18701.357791450002,18788.12841545,18940.6293307,19093.321250750003,19192.59993935,19338.65529455,19502.61727315,19698.235384
10,1334.9836364,1762.9594518000001,2115.8633648,2436.0658495000002,2754.3403562999997,3060.4092101,3332.4085961,3644.1684359,3888.3852668,4150.1101735,4349.554206100001,4644.044626,4837.553995599999,5041.3541979,5352.0803103,5527.5643926,5687.7364606,5922.431160200001,6138.3435227,6315.6246984,6491.8976981999995,6670.692845699999,6872.055635899999,7063.026224200001,7208.0335566,7354.1158392,7554.9281774,7674.3197908,7877.1412449,8023.7760283,8157.8976408,8331.9645582,8550.417351,8658.2586905,8811.6950457,8974.1098298,9166.0937788,9292.2200545,9434.1823389,9611.614164300001,9660.243554100001,9915.717253499999,10052.7297571,10165.617128900001,10308.7158741,10427.1156187,10612.3995625,10731.884852199999,10916.7765419,11038.754813000001,11098.6656199,11260.381943600001,11475.0336622,11497.982842899999,11682.2813961,11795.5351701,11970.253038199999,12103.312606899999,12245.7946861,12376.582773,12477.8390838,12589.744599700001,12739.4375384,12887.1673509,12963.0423298,13135.9441599,13286.5056007,13347.8796786,13471.3037388,13579.7772753,13760.2103601,13879.8253233,13939.9524985,14114.646005,14260.9548743,14322.1176503,14485.9910654,14594.747219,14704.3658692,14789.4519859,14959.8136887,15088.29522,15230.8018004,15343.6508142,15432.2292786,15597.810799500001,15651.620733200001,15760.5830607,15893.4271554,16001.5387302,16129.306390599999,16241.0905393,16372.464006499999,16487.564787,16628.0926893,16704.3779426,16810.4796992,16916.3446554,17078.9142937,17173.7453498,17267.5920134,17410.3103449,17518.398143,17650.7811043,17729.366995300003,17866.7239684,17982.2808186,18049.4588396,18186.2318795,18332.247621100003,18442.377355499997,18557.4027785,18668.0233276,18799.0718445,18901.9621036,19021.5071579,19187.7029088,19279.868853,19405.9857363,19556.378971899998,19718.241123
25,1439.43420225,1886.970075,2270.5925115,2622.12787875,2934.96498325,3266.40307775,3564.1031035,3844.78977975,4105.900927500001,4369.7952804999995,4638.9110385,4883.05612775,5113.6594052499995,5314.7616765,5592.001485999999,5763.45180925,5948.376907,6176.51176925,6393.68816375,6584.1213685,6738.23416025,6955.420759250001,7136.313651,7345.14871525,7523.88430825,7661.0895145,7821.0658945000005,7997.90541275,8175.65742375,8299.191621,8489.04120475,8632.728526750001,8828.127335500001,9011.05938725,9146.9133845,9321.03651875,9460.718483999999,9605.936934,9733.0045585,9906.07191625,10048.38439575,10193.817847499999,10365.623055,10516.6456585,10601.70839325,10794.610860499999,10931.99735575,11053.031636,11232.55776875,11368.89998475,11431.075295999999,11550.67721925,11780.134878,11815.58759775,12007.730819749999,12126.39227075,12289.180282,12427.72913925,12601.100255500001,12666.928164500001,12763.13387575,12937.78999725,13050.58785075,13207.9614225,13308.07905925,13433.502699,13576.50462725,13663.46461025,13771.688206,13912.44918875,14087.17596225,14171.603659,14267.6162095,14406.52169675,14526.2419895,14618.266563000001,14772.28788925,14875.346797999999,15026.5718975,15101.8556605,15277.25230275,15343.08317225,15510.9635055,15608.12233375,15679.729844,15826.6551595,15902.50671125,16022.776024,16157.34669525,16277.738183,16392.30642425,16512.723750750003,16624.78551825,16731.00259025,16858.700471,16944.3382285,17052.062752,17192.19641525,17307.064723000003,17401.86404225,17500.917467,17605.23402525,17730.18109875,17856.0949755,17939.3467535,18070.21449075,18173.59451925,18276.638506249998,18395.3059825,18496.41751875,18603.838259750002,18718.1569635,18834.94061325,18961.373505000003,19050.1489365,19160.437570000002,19286.9747605,19389.82596725,19510.45932725,19617.94005975,19740.13250875
