,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205
0.5,114.296399765,238.04028831500003,343.722486395,455.937727965,551.91477893,634.7326289299999,689.983640085,756.698620145,833.459657735,883.015115875,956.12779071,1012.228666965,1082.693974005,1119.656514495,1173.99322278,1216.36012127,1282.94612026,1327.297400985,1368.421681475,1419.84168434,1467.60533448,1498.542833345,1553.423366915,1587.13547217,1631.60308102,1668.974833955,1699.619940165,1739.288938275,1779.7321304349998,1808.0305063,1845.69295455,1884.262819665,1923.078026875,1964.62090455,1996.1733865049998,2028.1972251299999,2059.650399735,2104.865662435,2136.623768445,2174.9029222,2218.02033224
1,122.15182465,247.43669685999998,355.92602981,466.18368702,561.27751654,642.9726057500001,707.5557640400001,779.0459941700001,857.28386426,906.88928806,963.5547331800001,1026.83559057,1095.98303034,1131.8630420000002,1191.06874462,1227.8135077,1294.94890697,1332.66717702,1379.4205634,1425.02756636,1472.0140259999998,1510.41281604,1560.50516974,1593.16058236,1639.43333761,1673.5199773000002,1705.20762524,1745.7937639,1783.7794185,1823.21208412,1856.8622967600002,1891.3636095699999,1932.1295915800001,1968.70656234,2002.57858228,2031.72773957,2070.56976077,2108.86648929,2144.10838952,2182.67035058,2220.72978276
1.5,129.314516735,259.829541625,363.581106165,478.91317975,568.629917535,650.52441922,714.6167978699999,789.045946935,861.498240885,919.19040251,974.278638075,1038.3523624000002,1101.84765597,1139.692437035,1199.0536766799999,1234.055536095,1303.42496025,1345.32754256,1384.85490351,1438.09816344,1475.640807515,1521.769623705,1565.5223398399999,1594.846810675,1643.0553366400002,1677.880384695,1713.79356223,1749.93941242,1789.9472913850002,1827.0380595499998,1863.587108955,1896.13881698,1934.639438555,1971.448838865,2005.359380985,2036.09339321,2074.8045102,2112.292792025,2146.475379915,2184.91528655,2225.03342238
2,136.31869292,263.07519382000004,376.49863002,481.59799456,574.37182474,657.17180912,727.0613545,792.88972284,870.18543272,924.73863946,982.59213916,1045.30401224,1104.34609364,1148.21781788,1204.9843184200001,1247.8842803,1305.7210641600002,1352.47908164,1393.03070982,1446.73170216,1478.2127648,1526.21351306,1568.0100523400001,1603.44619306,1645.2178822600001,1683.33629744,1716.9492969599999,1753.00998534,1794.40836802,1828.54994368,1867.42844544,1900.0530654200002,1938.58112256,1974.56840186,2007.69963302,2042.2729157800002,2078.24967688,2112.7946006800003,2149.3083954,2187.37056682,2228.2017923000003
2.5,141.44307365,270.66508955,379.720198375,491.580844625,578.39876225,664.851061475,731.3635369,800.6955145,873.629843075,936.8794471,986.13993025,1051.488580475,1107.88857175,1157.449436675,1212.5285322,1259.008280225,1308.822196325,1356.1213566,1399.399726,1451.6766584749998,1481.3876518250001,1529.9347478,1571.34346,1609.61151675,1649.1561098749999,1687.151337375,1721.653888725,1756.014530025,1798.479093875,1830.5244166,1869.5988459750001,1902.2851850749998,1941.4360435499998,1976.547804225,2009.6850018999999,2044.58001025,2082.46320395,2118.1168276999997,2151.83063365,2188.8382635000003,2229.592841225
5,159.2209924,284.37041595,393.0442356,506.22460470000004,592.8384845,687.7448379,749.74750025,820.36677895,892.3171946499999,953.5148679,1013.75596925,1065.9975747,1128.00094925,1177.52290195,1229.9208139,1274.2260594499999,1329.9488488499999,1375.0840771,1416.63326555,1464.6678161,1501.4269368,1543.5170156000001,1583.37298285,1623.57200635,1659.8516086,1696.4420819499999,1731.9767842,1771.3164180499998,1807.7161345,1839.17408425,1881.11695955,1913.6085912,1950.9652495,1985.12005425,2017.3707931,2051.88707835,2089.62934845,2122.4332282,2157.6707008500002,2194.2420855,2235.4824184999998
10,171.218643,303.09645170000005,418.31856500000004,528.4389509,612.2918409,705.0805944,769.5366252,850.1874580000001,917.2075075,976.7993428,1038.8038378,1091.8967870000001,1147.0911287,1196.1896002,1248.7932721,1299.3355762,1350.2566805000001,1394.9687719,1432.6384392,1477.661185,1518.3570806,1554.0758511,1600.3317037,1638.4432251,1672.3422449999998,1709.0228656,1743.677402,1785.1064936,1820.8083081,1856.1051036,1891.0261389,1927.9382042,1958.3316809,1998.1383284,2029.2108129,2062.0315059,2097.5015529,2130.203515,2166.1836444,2201.5802946000003,2240.4006835
25,202.41455324999998,333.18081900000004,453.43355399999996,563.02911875,653.20151375,740.8237195,817.6861670000001,890.9728787500001,956.14588925,1013.8256247500001,1072.87541575,1131.63790825,1186.081825,1230.80487025,1283.030625,1330.5821214999999,1378.77941125,1423.4830415000001,1465.39822275,1503.6456235,1544.2291175,1580.6706425,1624.448766,1662.7991610000001,1693.7218395,1733.4944735,1768.92654675,1808.08787875,1841.80627275,1879.3685815,1912.7035369999999,1946.759859,1980.374871,2014.71485175,2046.8348245,2078.51932475,2112.80157625,2145.142762,2177.9815455,2211.6967375,2245.951588
75,259.433939,409.562488,540.805889,645.59798825,735.8942609999999,820.927258,899.34876475,968.7523855,1035.110618,1090.6067815000001,1147.77107475,1201.23666925,1252.5128849999999,1299.84704025,1348.6648475,1393.20268225,1441.15941425,1480.1374225,1516.97459,1563.654791,1600.5631452500002,1635.86356225,1677.01202625,1712.85164325,1745.6193504999999,1784.67788025,1819.4360575,1855.88848725,1886.558621,1921.05239725,1952.97601725,1985.085645,2019.17655925,2049.19492175,2081.4988027500003,2111.15337825,2141.17191225,2172.29991325,2199.43355925,2228.557479,2254.60852875
90,276.1976685,442.90839170000004,576.9047008,683.0671454,771.7792273,857.4142046000001,935.2673507000001,1000.2195386000001,1068.5328364,1120.6266235,1176.3133501999998,1234.7525535,1279.9079597999998,1330.0195462,1373.2589593,1418.7524973,1464.7938116,1504.8110548,1540.0039921,1584.9783308,1622.8336479,1658.272293,1699.4834782,1737.268254,1770.8863454,1805.9384011,1838.1167017,1875.6500639,1905.3012907,1938.7515503,1972.6035314,2001.7916512,2035.0985343,2064.9885566,2093.4117553,2124.8025742,2152.9321793,2180.8037656,2206.9763428,2234.8903342,2257.7997109000003
97.5,304.96225635,470.0822339,611.5549335999999,719.1687961,814.4213223749999,899.735064275,970.923181075,1032.1162521249998,1095.41127155,1150.3844186249999,1206.012775025,1263.7291063999999,1315.4530157250001,1360.101564925,1402.2723068,1445.4031613,1491.5470591,1528.71737885,1565.294296125,1610.9528543,1646.943991075,1681.856450575,1721.7539582,1759.424648375,1789.323456825,1825.085796675,1859.7549740250001,1895.52209355,1925.036131825,1954.2985527,1987.429904875,2017.7350829,2049.0933,2080.5281614250002,2104.7182182499996,2138.421396625,2163.605506075,2189.80719935,2214.479616425,2240.366618125,2260.51109375
98,305.89887402,472.77536045999994,621.78051138,728.0362150599999,816.9717291000001,904.1533498,973.0973935,1034.01738026,1098.35509716,1151.82979034,1208.45465118,1265.82449074,1321.15866868,1363.34713288,1403.45193326,1449.53200234,1495.7145425400001,1534.91649938,1570.7261646,1617.5375081000002,1649.8617275000001,1684.27120312,1723.7453063799999,1764.4301583000001,1793.93088498,1826.75487848,1862.63982196,1898.6286568199998,1928.8384492,1955.79950816,1989.21782442,2020.08265164,2050.91867378,2081.877015,2106.50015414,2139.34019756,2164.95408248,2190.20599258,2215.2055056599997,2240.78859542,2260.88769284
98.5,305.89887801500004,480.038437345,631.90648258,737.70758743,828.679752265,911.6951556500001,981.1265537699999,1044.681686845,1103.708014745,1157.30254262,1216.96016923,1271.683763475,1323.70011699,1367.86209169,1408.1232181500002,1456.74490907,1497.95604172,1536.035503535,1574.80060748,1620.45309746,1654.62717753,1686.6177173199999,1726.168399785,1770.760500745,1800.114293505,1831.6772083649998,1871.1305115799998,1902.888851205,1930.445658865,1958.2926561450001,1992.03010227,2022.8201641,2053.5219806299997,2083.10151096,2108.42733173,2140.250880235,2165.90488469,2191.631982025,2217.260635225,2241.928638665,2261.26789179
99,306.37261101,489.72793217,638.31481601,745.48411276,830.81280097,924.22757692,996.1780776400001,1049.2827783399998,1108.2220014700001,1168.93267914,1225.70680099,1278.42492032,1328.71784869,1373.0939548000001,1414.08659697,1465.7301699299999,1502.3760226299999,1539.14969982,1577.9769855099998,1627.0000734500002,1656.92872281,1693.25581626,1730.08381912,1772.85191558,1806.5065016199999,1835.01742686,1874.62138059,1907.2920843,1931.97383066,1960.9076197900001,1995.50708854,2027.15370374,2054.49029015,2085.56377146,2110.98556986,2143.12239639,2167.87259005,2194.3703470799996,2218.76669142,2242.2832816600003,2261.91965372
99.5,306.372617005,505.47546257,645.568101495,757.35656544,837.1748635949999,932.7127460449999,1003.966558395,1060.333240035,1124.1179669150001,1180.07549228,1232.9490427849998,1287.53194986,1335.63473473,1378.794655725,1423.57163147,1468.510209715,1512.6889453150002,1551.040353235,1589.209793415,1631.6592394149998,1668.75439388,1697.160946105,1737.676901545,1776.46342284,1816.5789126900002,1841.197590475,1881.00738712,1914.934045755,1935.47840602,1965.825102315,2003.16963916,2035.04560547,2062.69686257,2088.724363875,2116.432022565,2144.160406095,2171.31879308,2196.03309296,2222.253724685,2243.292259925,2262.76173234
Median,225.2566505,372.1498285,499.417906,605.7427775,695.7390330000001,783.7748585,857.0010485,927.450785,994.6261085,1053.7862095,1111.1854855000001,1169.0209905000002,1220.5504295,1267.439057,1317.3513005,1364.0671035,1410.6521225000001,1450.4992280000001,1491.2798834999999,1533.223607,1572.474805,1608.6694095,1650.6681855000002,1688.350658,1720.210013,1760.2319395,1795.94028,1832.4979389999999,1865.718541,1900.5216235,1933.7882049999998,1966.143028,1999.2955425,2032.8581665000002,2065.6653735,2095.092873,2128.642299,2158.927479,2189.1852045,2220.202255,2250.3399165
Mean,227.46608873999998,371.907648781,498.20460952199994,605.371218159,694.6873352370001,782.063196688,856.4457604529999,926.1644908630001,993.691227255,1051.148742306,1108.493435081,1164.683255128,1217.612714255,1264.9131652059998,1314.0550734409999,1360.621445786,1408.794437141,1449.947549765,1489.246244051,1532.708511987,1571.390912196,1607.1811264130004,1650.06483611,1687.66396022,1720.377783918,1758.3573024900002,1793.7606664359998,1831.3546957199999,1863.845963027,1898.7210865060001,1932.338693742,1965.0155261630002,1998.582191072,2031.802629596,2063.3579638799997,2094.216899993,2126.401880871,2157.5213788119995,2187.611512208,2219.019237173,2249.441260164
