,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205
0.5,60.66664206688884,63.189315956952434,68.65176535684213,73.68586130093331,79.67326700572411,78.80488874831934,79.61836941923715,82.393340184505,82.68531454619587,84.26704584924582,84.32564550719209,84.74150410602402,86.0777071674907,88.0962462928721,87.94979568521205,87.73387981444534,87.77282989187145,89.4293932300045,89.83259243744448,89.74513323186633,90.78614525072896,90.55531693321583,90.69504722676331,91.4064607750748,91.3766735135647,91.53795003389826,92.19321582895789,92.2381021866676,92.72250022060666,93.04585379986757,93.04401367839469,93.3599468002432,93.881621235787,93.77127220525645,94.23674071832926,94.64090104702765,94.78579750960263,95.2071261496696,95.65113530476211,96.23209644108852
1,65.30399473911116,69.73628521695234,71.86806387568424,76.52807963980001,81.4349665865747,80.19498642897474,82.23478770239745,84.94310394153531,84.5940076873061,85.26855289726599,85.60274163201133,86.22570778289422,86.66806338294822,88.36478193179822,88.63772754100636,88.63027574545659,88.8933891838527,89.89853168273238,90.48589469666261,90.42332336650549,91.16412618157794,91.39373325029439,90.99764938904198,91.72290890816257,91.91066494698505,92.1687679918165,92.67440748114392,92.78600732376628,92.92530882774048,93.31622257888394,93.27420808263444,93.96132093875688,94.29038715329547,94.04690437859965,94.5737006324506,94.7668458915229,95.02880114681923,95.34188006125407,95.7063952879879,96.27840973070784
1.5,66.8867875386667,72.62758246542855,75.20002589505262,78.51144639286669,82.92978682216092,81.56743231112603,83.87097468937817,85.73113853660608,85.37800154195101,86.39253859944107,86.29489653220905,86.922928939726,87.42711386781986,89.06211990936937,89.12510785914871,89.4795836172073,89.98139371953056,90.5670847933617,90.99184177541413,91.09679234138457,91.52193614296412,91.552906622032,91.45020172544396,92.40086591079483,92.0664240441849,92.23152912555554,92.8758227651382,92.85533937802015,93.20078546406626,93.62175243520907,93.40978434850199,94.0924444766201,94.43284318241733,94.32978830798359,94.70019338246117,94.89086963041774,95.24054789413734,95.41547910163524,95.74938208388798,96.31812331346438
2,68.43798265733331,73.86412293219043,76.78513680610533,79.00937786053336,83.91916970933329,82.40612851912606,85.06295162346154,86.33846506363639,86.54184091283261,86.9905633926195,87.12105601927682,87.72180447865385,88.09145768775981,89.24674324397836,89.67805650825949,89.84237694600563,90.24126384444945,90.825385638047,91.2540393961899,91.5842304887766,91.66530003180647,91.76205845411441,91.73817399190197,92.6599690039432,92.35927930724392,92.59489398636599,92.991899218185,92.93074917769349,93.31385077046262,93.79887957512527,93.59801491126419,94.28330008972358,94.49788232997986,94.42646745182527,94.84838804002234,94.94244067623498,95.30578282806574,95.52398111769281,95.84516139599599,96.3252424420029
2.5,69.863682695,75.4783419428571,78.52399984815791,79.7965486311667,84.28679498252873,82.85480822773106,85.55562125445516,86.69981345797981,87.32029724118364,87.62953969259254,87.42635084923731,88.35114889468754,88.57895850549693,89.599594051982,90.21492257809332,90.22716373022405,90.72886700682896,91.02879591481518,91.30025749179295,91.7210800821703,91.90270954045874,91.98032090048821,92.00722531518208,92.71436823940002,92.71779983342573,92.75699433718633,93.24483035091981,93.28445805216471,93.35307568192391,93.89703168738166,93.8306097149627,94.36572142750927,94.57453914171077,94.50366274829555,94.91665040974551,95.08041247017921,95.35074576751744,95.58494017174725,95.89017882702512,96.32892785830707
5,75.43760508222218,79.93451850857143,82.83084704605265,82.84658132533329,86.80025889344832,85.70652293042018,87.40631102070516,87.90113695999996,88.97906602085716,89.3102363660606,89.02713332610169,89.57186563668266,89.70146672944104,90.59164645747751,91.3401814004589,91.22846750717088,91.86122909249684,92.0291256070325,92.24897108517176,92.7679024412454,92.60211163936619,92.92104173630817,93.0360807765616,93.64757891649035,93.34556812108528,93.59997099291321,93.93757838329913,93.83766411522991,94.18603865526619,94.361419629535,94.28481264708334,94.66106840500365,94.94882024422202,94.83520357619709,95.19058838274671,95.40418542473562,95.6363521496714,95.78896656097274,96.10341687978392,96.3691997631325
10,80.72274534222218,84.3040977485714,85.96241506157897,87.06970579600004,89.4467919234483,88.98153303932772,89.56841608294872,90.11916468141413,91.12492491322446,91.1326970052525,90.72850811265536,91.71666967230773,91.76406276476189,92.3396258072072,92.7949802675,92.44105375411762,92.97505488144817,93.15717405751396,93.40451105872728,93.67617596245421,93.54545290210172,94.11624142880244,93.94520272927166,94.28422270580643,94.2215328118783,94.4507567909342,94.50744020869472,94.6634290886973,94.79075352389258,94.93216980928365,94.9198390645126,95.20930941617148,95.40508955860075,95.36355341530374,95.62474372107386,95.73103260918917,95.87888066174878,96.04533299046255,96.27844057338699,96.44417672747964
25,91.03779654444448,90.9727017857143,92.10492256315788,92.1620304583333,93.5435651632184,93.26655075126055,93.28855223910257,93.7888315878788,94.0808630089796,94.06220074006733,93.89661537683618,94.35656607307689,94.3621553019669,94.68862134720717,94.84443177515826,94.80122383095242,95.12712805262173,94.94919321858906,95.16329585505049,95.29047264404763,95.16165551025858,95.51521050602592,95.34919058151263,95.61443275632256,95.4682014721527,95.67040179181868,95.73949483887458,95.7168105018678,95.89165565503355,95.89756918667786,95.85939510766512,96.16822431274947,96.09462433797425,96.16537625008215,96.26860010859713,96.30247905408342,96.42514519015597,96.45866333238173,96.5892156485176,96.73962340432804
75,106.3326921944445,103.878383138095,103.3491821473685,101.96152609500024,101.57320421034525,101.1231506184875,101.07178609326951,100.79488571212124,100.16234154204075,100.2234300518515,99.82755948968929,99.6926644050481,99.24188407494827,99.4153623185586,99.53087308322787,99.07463663977592,99.05386387933832,99.01186752653977,98.82111339691916,98.84303577783885,98.64341597652212,98.6210258638444,98.5019235929622,98.4391125059355,98.36125932075132,98.21292604018792,98.25765128530315,98.01111458697318,98.00049741241612,98.00043840041897,97.88819731582151,97.86421587228382,97.73971624314302,97.78399067986861,97.66199131306645,97.52718023748533,97.51924512127545,97.40844132135871,97.33476977885678,97.17763546609275
90,111.38576393333341,108.5245708799997,107.0353082484213,105.601410817333,104.2908083393106,104.1623677438659,104.0659366835897,103.5960337210104,102.7243968616331,102.3935697795287,101.9902241638417,101.86913746336529,101.4358287492756,101.4724175798199,101.3578769125316,100.8191663156299,100.791469537378,100.7456606444796,100.5066941810302,100.3298110132239,100.07946972010019,99.81883768134247,99.85751097613449,99.63542153901939,99.38085702844366,99.29421581107796,99.47320647375128,98.98272989712645,98.90261885128412,98.88219283753669,98.72495342984277,98.6106845961715,98.44968036419071,98.47706094880787,98.24705716624455,98.09327198493536,98.02728850474516,97.83601520308754,97.67092745405526,97.45314223134382
97.5,115.12869558055512,111.59692437761885,109.65748724105299,109.2590059705,107.50569887517283,107.00381337126028,106.55031389144197,106.23335674525218,105.10941298579606,104.91678545242391,104.15319601574886,103.9013154006005,103.60797743909897,103.68835023079293,102.86477689128182,102.80210271047602,102.54979333752183,102.32143701656175,102.19292750393957,101.67082422964268,101.51914215974584,101.32358450422586,101.40205589762995,100.88445241719963,100.58503767044998,100.2406028760087,100.5338057481427,100.22733929629823,99.99575807133557,100.11433987183905,99.60389291880898,99.38825607045824,99.20970559362857,99.23630025654188,98.86244916799657,98.5731393875529,98.4805234496631,98.29643974716095,97.88737916674376,97.55353209688185
98,115.41361968755578,112.14005534171386,109.86857070999955,109.43860416786701,107.8047125661611,107.32346567435272,106.91618795376905,106.67379137204014,105.55106389168989,105.29566529707742,104.3914084857514,104.24150728236584,103.94535506029808,103.86576437013304,102.98817240565143,103.16956459438683,102.66651086685137,102.58834785704808,102.38323631347085,101.82878704080613,101.81336243049873,101.37946676007932,101.54276786358562,101.06319637014674,100.82139430922403,100.26130139993396,100.66495520089033,100.39940311008095,100.05176765402224,100.23695129228965,99.73676264344498,99.4181312896615,99.27101304485488,99.33202024162101,98.92179877588953,98.70552510519627,98.5290054812776,98.34017652585563,97.92602473843013,97.55490187153895
98.5,115.75055099699999,112.5869658374287,110.24644161523732,109.70964401239999,108.13563575110342,107.50653081001708,107.66670728026246,106.99769887009121,105.85512568224861,105.47326269754164,104.75032104061023,104.68825100059142,104.18987176905804,104.02884870083962,103.22106881149871,103.59613947144233,102.88291728630178,102.96454039400409,102.51731847673189,102.08229685493912,101.97826798226315,101.94733946097453,101.71830799382673,101.29786902123145,100.97222565273913,100.4457081565461,100.74271505073871,100.59415639431273,100.29878800238987,100.43057245607135,99.861868170535,99.5757496174316,99.32378167841772,99.46763636198888,98.95830198621631,98.77426989942308,98.63889518839596,98.38757282321275,97.97189482220304,97.55658942516887
99,116.42531804444488,113.26693604704734,111.53288161689441,110.52651448473333,108.86002270280413,108.04348525825208,107.98322990153808,107.17011347331304,106.81444120330566,105.99709674483549,105.10889585195518,104.8843251308363,104.73901722345802,104.24264948938348,103.98350305914573,103.94288811747333,103.12707540923816,103.31901594057372,102.78560868772557,102.42590534267354,102.38704257115884,102.14898746263897,101.90349104545953,101.75879760794358,101.20314084188338,100.71336107316705,100.89936063421065,100.7303491279215,100.48808315787545,100.60160078257364,100.07764496186653,99.70250971134668,99.41873455427081,99.58744540949883,99.06568189134141,98.92435465784251,98.73323820687325,98.47187373664711,98.04071067212064,97.55771418218939
99.5,117.9902912123331,113.57608389580919,112.16089389118416,111.29000691583366,110.30040903251734,108.30617929917666,108.83076613747426,107.71520635836362,107.10038066747393,107.0385688708487,106.08562132130545,105.71615477481754,105.29430508606413,105.12774219711322,104.23754048778596,104.62906673261105,103.40675037936785,103.7654207152746,103.39787646259818,103.29164285045282,102.59622025683761,102.46571803724827,102.49363785093223,102.15951396316345,101.46459757155158,101.11035707850074,101.52273694743485,101.09872323563717,100.93107222361665,100.93335004388821,100.33199434650149,99.80399176461793,99.77669810815728,99.72258650379837,99.24286852041836,99.10493931273858,98.89445437650153,98.61816435319214,98.12767492779149,97.57591166826448
Median,99.7631025222222,98.1912521142857,98.2884389236842,97.35929643333336,97.7641641988506,97.24729837142854,97.354076700641,97.16205040505051,97.38789689918366,97.2824146720539,97.1376119217514,97.1873317485577,96.86754579233954,97.04860414594594,97.06661272579115,96.99365315462185,97.22250978027465,97.05002447861145,97.03516060353536,97.1255350095238,97.09352439616345,97.21153967231125,96.94611125126055,96.99377868632254,97.0595949006559,96.95963757412935,97.00039804604314,96.82809620593869,97.05423354791945,96.9973319496439,96.9343490138758,97.0656953376201,96.86805168903585,96.92869043054185,97.0151111461204,96.938372957168,96.98803729827345,96.9615153446471,96.975340838593,96.88604794332855
Mean,97.58035065719997,96.93044147097142,97.19296848782105,96.66094689778,97.22020070349195,96.77008021717312,96.99879953586411,97.07191923929292,96.97008457172083,96.97771862125254,96.71100963555988,96.89962215733462,96.71540012880249,96.9734084555409,97.0489669612943,96.84041601249075,96.99958105136255,96.93657579209764,97.0004590703909,97.01709711676008,96.91354364777798,97.03168030475454,96.9046790937091,97.0059441757569,96.91497831130994,96.87795084386644,96.98214008490996,96.83743175000058,96.94739917739265,96.93991800152426,96.87367957215378,96.98189538324819,96.90393631249204,96.94164764760617,96.96307134702153,96.91771477390846,96.9668949399174,96.94037621518763,96.9610007247105,96.93956644072826
